1	2	3	4	5	6	7	8	9
0.620000005	0	-0.0599999987	0	0	0	1	0.00159999996	40
0.660000026	0	-0.0599999987	0	0	0	1	0.00159999996	41
0.699999988	0	-0.0599999987	0	0	0	1	0.00159999996	42
0.74000001	0	-0.0599999987	0	0	0	1	0.00159999996	43
0.779999971	0	-0.0599999987	0	0	0	1	0.00159999996	44
0.819999993	0	-0.0599999987	0	0	0	1	0.00159999996	45
0.860000014	0	-0.0599999987	0	0	0	1	0.00159999996	46
0.899999976	0	-0.0599999987	0	0	0	1	0.00159999996	47
0.939999998	0	-0.0599999987	0	0	0	1	0.00159999996	48
0.980000019	0	-0.0599999987	0	0	0	1	0.00159999996	49
1.01999998	0	-0.0599999987	0	0	0	1	0.00159999996	49
1.05999994	0	-0.0599999987	0	0	0	1	0.00159999996	48
1.10000002	0	-0.0599999987	0	0	0	1	0.00159999996	47
-0.100000001	0	-0.0199999996	0	0	0	1	0.00159999996	2
-0.0599999987	0	-0.0199999996	0	0	0	1	0.00159999996	1
-0.0199999996	0	-0.0199999996	0	0	0	1	0.00159999996	0
0.0199999996	0	-0.0199999996	0	0	0	1	0.00159999996	0
0.0599999987	0	-0.0199999996	0	0	0	1	0.00159999996	1
0.100000001	0	-0.0199999996	0	0	0	1	0.00159999996	2
0.140000001	0	-0.0199999996	0	0	0	1	0.00159999996	3
0.180000007	0	-0.0199999996	0	0	0	1	0.00159999996	4
0.219999999	0	-0.0199999996	0	0	0	1	0.00159999996	5
0.25999999	0	-0.0199999996	0	0	0	1	0.00159999996	6
0.300000012	0	-0.0199999996	0	0	0	1	0.00159999996	7
0.340000004	0	-0.0199999996	0	0	0	1	0.00159999996	8
0.379999995	0	-0.0199999996	0	0	0	1	0.00159999996	9
0.419999987	0	-0.0199999996	0	0	0	1	0.00159999996	10
0.460000008	0	-0.0199999996	0	0	0	1	0.00159999996	11
0.5	0	-0.0199999996	0	0	0	1	0.00159999996	12
0.540000021	0	-0.0199999996	0	0	0	1	0.00159999996	13
0.579999983	0	-0.0199999996	0	0	0	1	0.00159999996	14
0.620000005	0	-0.0199999996	0	0	0	1	0.00159999996	15
0.660000026	0	-0.0199999996	0	0	0	1	0.00159999996	16
0.699999988	0	-0.0199999996	0	0	0	1	0.00159999996	17
0.74000001	0	-0.0199999996	0	0	0	1	0.00159999996	18
0.779999971	0	-0.0199999996	0	0	0	1	0.00159999996	19
0.819999993	0	-0.0199999996	0	0	0	1	0.00159999996	20
0.860000014	0	-0.0199999996	0	0	0	1	0.00159999996	21
0.899999976	0	-0.0199999996	0	0	0	1	0.00159999996	22
0.939999998	0	-0.0199999996	0	0	0	1	0.00159999996	23
0.980000019	0	-0.0199999996	0	0	0	1	0.00159999996	24
1.01999998	0	-0.0199999996	0	0	0	1	0.00159999996	24
1.05999994	0	-0.0199999996	0	0	0	1	0.00159999996	23
1.10000002	0	-0.0199999996	0	0	0	1	0.00159999996	22
-0.100000001	0	0.0199999996	0	0	0	1	0.00159999996	2
-0.0599999987	0	0.0199999996	0	0	0	1	0.00159999996	1
-0.0199999996	0	0.0199999996	0	0	0	1	0.00159999996	0
1.01999998	0	0.0199999996	0	0	0	1	0.00159999996	24
1.05999994	0	0.0199999996	0	0	0	1	0.00159999996	23
1.10000002	0	0.0199999996	0	0	0	1	0.00159999996	22
-0.100000001	0	0.0599999987	0	0	0	1	0.00159999996	27
-0.0599999987	0	0.0599999987	0	0	0	1	0.00159999996	26
-0.0199999996	0	0.0599999987	0	0	0	1	0.00159999996	25
1.01999998	0	0.0599999987	0	0	0	1	0.00159999996	49
1.05999994	0	0.0599999987	0	0	0	1	0.00159999996	48
1.10000002	0	0.0599999987	0	0	0	1	0.00159999996	47
-0.100000001	0	0.100000001	0	0	0	1	0.00159999996	52
-0.0599999987	0	0.100000001	0	0	0	1	0.00159999996	51
-0.0199999996	0	0.100000001	0	0	0	1	0.00159999996	50
1.01999998	0	0.100000001	0	0	0	1	0.00159999996	74
1.05999994	0	0.100000001	0	0	0	1	0.00159999996	73
1.10000002	0	0.100000001	0	0	0	1	0.00159999996	72
-0.100000001	0	0.140000001	0	0	0	1	0.00159999996	77
-0.0599999987	0	0.140000001	0	0	0	1	0.00159999996	76
-0.0199999996	0	0.140000001	0	0	0	1	0.00159999996	75
1.01999998	0	0.140000001	0	0	0	1	0.00159999996	99
1.05999994	0	0.140000001	0	0	0	1	0.00159999996	98
1.10000002	0	0.140000001	0	0	0	1	0.00159999996	97
-0.100000001	0	0.180000007	0	0	0	1	0.00159999996	102
-0.0599999987	0	0.180000007	0	0	0	1	0.00159999996	101
-0.0199999996	0	0.180000007	0	0	0	1	0.00159999996	100
